Lot,Description,Address,Plant,Location,Quantity,Bid,Sale Price,Premium,Tax,Rigging Fee,Freight Cost,Other Costs,Total,Per Item Cost,Category,Notes,Photos,MSRP,Average On-Line,Our Asking Price,Sold Price
2029,Assorted microwaves and trim kits,"1139 Haines Blvd, Sturgis , MI 49091",901,ROW 2,1,$60.00,$60.00,$10.80,$0.00,$0.00,$0.00,$0.00,$70.80,$70.80,,,,,,,
2030,Greystone microwave Model GSMW09B,"1139 Haines Blvd, Sturgis , MI 49091 ",901,ROW 2,7,$250.00,$250.00,$45.00,$0.00,$0.00,$0.00,$0.00,$295.00,$42.14,,,,,,,
2031,Greystone microwave Model GSMW09B,"1139 Haines Blvd, Sturgis , MI 49091",901,ROW 2,6,$175.00,$175.00,$31.50,$0.00,$0.00,$0.00,$0.00,$206.50,$34.42,,,,,,,
2034,Pallet of assorted lighting,"1139 Haines Blvd, Sturgis , MI 49091",901,ROW 2,1,$20.00,$20.00,$3.60,$0.00,$0.00,$0.00,$0.00,$23.60,$23.60,,,,,,,
2038,Pallet of assorted Ananconda tape,"1139 Haines Blvd, Sturgis , MI 49091",901,ROW 2,1,$10.00,$10.00,$1.80,$0.00,$0.00,$0.00,$0.00,$11.80,$11.80,,,,,,,
